Title,Link,Video ID,Transcript
Who pays the lowest taxes in the US?,https://www.youtube.com/watch?v=kXCGbAv8YPw,,
"US death rates v UK, Italy and South Korea - BBC News",https://www.youtube.com/watch?v=JjO5jewQUZk,,
Did the US reopen faster than other countries? - BBC News,https://www.youtube.com/watch?v=RbtdGupA5OM,,
India election 2019: Are women any safer? - BBC News,https://www.youtube.com/watch?v=TLEAY9ih6dM,,
Eisenhower's Warning: Military Industrial Complex's Growing Budget | Think Back | The New York Times,https://www.youtube.com/watch?v=9QXjBVC233s,,
Global Wealth Inequality - What you never knew you never knew,https://www.youtube.com/watch?v=uWSxzjyMNpU,,
"American segregation, mapped at day and night",https://www.youtube.com/watch?v=qaPQN0aW47I,,
How climate change makes hurricanes worse,https://www.youtube.com/watch?v=_0TCrGtTEQM,,
"How America can leave fossil fuels behind, in one chart | 2020 Election",https://www.youtube.com/watch?v=QfAXbGInwno,,
How online ratings make good schools look bad,https://www.youtube.com/watch?v=WC3ZPgg0nds,,
China's path to carbon neutrality by 2060,https://www.youtube.com/watch?v=MeC4ZAX8vrc,,
The 'duck curve' is solar energy's greatest challenge,https://www.youtube.com/watch?v=YYLzss58CLs,,
Why America needs automatic voter registration,https://www.youtube.com/watch?v=Hd5Qs0fc_I0,,
Weed is not more dangerous than alcohol,https://www.youtube.com/watch?v=zGSzj7ztszI,,
Data on hate crimes is terrible. Here's why.,https://www.youtube.com/watch?v=u8JNikQLGB4,,
Americans Dodge $660 Billion in Taxes Each Year — And It’s Probably Getting Worse,https://www.youtube.com/watch?v=ZxXOyYSHcfE,,
200 Countries-200 Years-4minutes,https://www.youtube.com/watch?v=jbkSRLYSojo&index=11&list=FLX8DHS3fWcMiZ6LLeKYk6eQ,,
Why is California always on fire?,https://www.youtube.com/watch?v=OerszexsuLw&list=WL&index=2,,
"One Race, Every Medalist Ever",https://www.youtube.com/watch?v=_L_vq5JYQlE&t=2s,,
Inequality in Australia: a nation divided,https://www.youtube.com/watch?v=y8FUbds7tNU,,
What Works: Gender Equality by Design,https://www.youtube.com/watch?v=niH9wfKsUIc,,
What is the true UK cost of the Afghanistan war?,https://www.youtube.com/watch?v=X0Bkg8zgoYQ,,
World Cup of Security Infographic | GFI WebMonitor,https://www.youtube.com/watch?v=bTCOMehIGg4,,
Hans Rosling: The River of Myths,https://www.youtube.com/watch?v=lYpX4l2UeZg,,
How To End Poverty in 15 years' Hans Rosling - BBC News,https://www.youtube.com/watch?v=5JiYcV_mg6A,,
Wealth Inequality in America,https://www.youtube.com/watch?v=QPKKQnijnsM,,
Off by Trillions: The Reality of our Pension Problem (Pension Pursuit),https://www.youtube.com/watch?v=_8KlJgaS42U,,
The Numbers Game: How's The Middle Class Doing?,https://www.youtube.com/watch?v=VXI_ADnp22c&list=WL&index=7&t=22s,,
Walmart Nation: Mapping the Largest Employers in the U.S.,https://www.youtube.com/watch?v=vsYfG5hjjE8&list=UUc3e9XOO_neg3mnb9yDTklg&index=6,,
The Fallen of World War II,https://www.youtube.com/watch?v=DwKPFT-RioU,,
Costs of War: the Human Toll of the Post-9/11 Wars,https://www.youtube.com/watch?v=aVr0MSEW2SU,,
The Formula For Economic Growth,https://www.youtube.com/watch?v=R4G4AiuWOSk&list=WL&index=30,,
Why measles is back in the US,https://www.youtube.com/watch?v=Z2swde6Z97w,,
Corruption is Legal in America,https://www.youtube.com/watch?v=5tu32CCA_Ig,,
Senate and governor races are diverging sharply in some states,https://www.youtube.com/watch?v=6UVoVLCOwPE,,
The Power Of Education: Boosting Economic Growth In The Long Run,https://www.youtube.com/watch?v=ls-UPPAxCh0,,
What Bill Gates is afraid of,https://www.youtube.com/watch?v=9AEMKudv5p0&list=WL&index=2,,
All the Medalists: Men’s 100-Meter Freestyle,https://www.youtube.com/watch?v=VWAkhFJm7Q0,,
7 Billion: How Did We Get So Big So Fast? | SKUNK BEAR,https://www.youtube.com/watch?v=VcSX4ytEfcE,,
How Republican and Democratic voters have changed since 1992,https://www.youtube.com/watch?v=9UMnQq_LRQs,,
There's More to the Story of the Shrinking Pay Gap,https://www.youtube.com/watch?v=sfD7C49v5Vg,,
There Is No Gender Wage Gap,https://www.youtube.com/watch?v=QcDrE5YvqTs,,
What is going on in the Midwest! Regional Covid data story,https://www.youtube.com/watch?v=F70PS2OcPWE,,
What happens when women win elections,https://www.youtube.com/watch?v=rYyacj_tYs4,,
Perceptions of Indonesia's Inequality,https://www.youtube.com/watch?v=WIDbt4ndhaM,,
Ireland’s Great Wealth Divide poll | RTÉ One,https://www.youtube.com/watch?v=y0GlC6f8NJ0,,
Wealth Inequality in Canada,https://www.youtube.com/watch?v=zBkBiv5ZD7s,,
The racist history of US immigration policy,https://www.youtube.com/watch?v=6yiQAmgI5s4,,
All the Medalists: Men’s Long Jump,https://www.youtube.com/watch?v=a3LzKoMKjjk,,
"The most important chart of 2014, explained in under a minute",https://www.youtube.com/watch?v=SGoWEdGl82M,,
Bar chart race: the most populous cities through time,https://www.youtube.com/watch?v=pMs5xapBewM,,
Donald Trump's $20 Trillion Problem,https://www.youtube.com/watch?v=tgpfswDHA_Y,,
The Risky Business of Public Pensions,https://www.youtube.com/watch?v=bcFih7Wv9WE&list=RDCMUCFKrfZXPHx5URnspnfM8lpQ&index=2,,
